page_id,tokenizer,g0_parse,tokens_orig,tokens_comp,reduction_pct,g1_tokens,docH_orig,docH_comp,height_delta_px,g2_height,text_ratio,g3_text,n_boxes_orig,n_boxes_comp,iou_mean,center_shift_max,n_unmatched,g4_blocks,deltae_p95,deltae_max,g5_color,ssim_diag,g6_lpips,pixel_identical,accepted,stage,status
we00035,qwen2.5-vl,True,2717.0,2578.0,5.116,True,800.0,800.0,0.0,True,1.0,True,33.0,33.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,l1b,ok
we00036,qwen2.5-vl,True,2505.0,2378.0,5.07,True,1908.0,1908.0,0.0,True,1.0,True,84.0,84.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,l1b,ok
we00037,qwen2.5-vl,True,3187.0,2618.0,17.854,True,2336.0,2336.0,0.0,True,1.0,True,88.0,88.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,l1b,ok
we00038,qwen2.5-vl,True,2528.0,2237.0,11.511,True,800.0,800.0,0.0,True,1.0,True,78.0,78.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,l1b,ok
we00039,qwen2.5-vl,True,3022.0,2911.0,3.673,True,2188.0,2188.0,0.0,True,1.0,True,14.0,14.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,l1a,ok
we00040,qwen2.5-vl,True,3075.0,2926.0,4.846,True,2639.0,2639.0,0.0,True,1.0,True,97.0,97.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,l1a,ok
we00041,qwen2.5-vl,True,3819.0,2948.0,22.807,True,1953.0,1953.0,0.0,True,1.0,True,53.0,53.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,l1b,ok
we00042,qwen2.5-vl,True,3565.0,3348.0,6.087,True,1991.0,1991.0,0.0,True,1.0,True,72.0,72.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,l1a,ok
we00043,qwen2.5-vl,True,1527.0,1334.0,12.639,True,1040.0,1040.0,0.0,True,1.0,True,33.0,33.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,l1b,ok
we00044,qwen2.5-vl,True,5874.0,4743.0,19.254,True,844.0,844.0,0.0,True,1.0,True,23.0,23.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,l1b,ok
we00045,qwen2.5-vl,True,2542.0,2050.0,19.355,True,808.0,808.0,0.0,True,1.0,True,68.0,68.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,l1b,ok
we00046,qwen2.5-vl,True,4561.0,4073.0,10.699,True,1084.0,1084.0,0.0,True,1.0,True,128.0,128.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,l1b,ok
we00047,qwen2.5-vl,True,6557.0,5586.0,14.809,True,1577.0,1577.0,0.0,True,1.0,True,36.0,36.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,l1b,ok
we00048,qwen2.5-vl,True,3090.0,2821.0,8.706,True,1616.0,1616.0,0.0,True,1.0,True,54.0,54.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,l1b,ok
we00049,qwen2.5-vl,True,2989.0,2854.0,4.517,True,1768.0,1768.0,0.0,True,1.0,True,46.0,46.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,l1b,ok
we00050,qwen2.5-vl,True,4327.0,3709.0,14.282,True,2485.0,2485.0,0.0,True,1.0,True,162.0,162.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,l1a,ok
we00051,qwen2.5-vl,True,3336.0,3137.0,5.965,True,1998.0,1998.0,0.0,True,1.0,True,48.0,48.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,l1b,ok
we00052,qwen2.5-vl,True,1956.0,1751.0,10.481,True,917.0,917.0,0.0,True,1.0,True,42.0,42.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,l1a,ok
we00053,,,,,,,,,,,,,,,,,,,,,,,,,False,none,"failed_original: Page.goto: Timeout 30000ms exceeded.
Call log:
  - navigating to ""file:///C:/Users/Mahin/Thesis/render_validated_starter_kit/starter_kit/data/raw_webcode2m/we00053.html"", waiting until ""load""
"
we00054,qwen2.5-vl,True,5530.0,4646.0,15.986,True,1183.0,1183.0,0.0,True,1.0,True,36.0,36.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,l1b,ok
we00055,qwen2.5-vl,True,4375.0,3228.0,26.217,True,1579.0,1579.0,0.0,True,1.0,True,74.0,74.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,l1b,ok
