page_id,source,base,n_invisible,n_wrappers,n_candidate_edits,tokens_base,status,accepted,reduction_pct,gate_calls,n_kept,n_kept_invisible,n_kept_wrappers,n_blacklisted,tokens_saved_invisible,tokens_saved_wrappers,tokenizer,g0_parse,tokens_orig,tokens_comp,g1_tokens,docH_orig,docH_comp,height_delta_px,g2_height,text_ratio,g3_text,n_boxes_orig,n_boxes_comp,iou_mean,center_shift_max,n_unmatched,g4_blocks,deltae_p95,deltae_max,g5_color,ssim_diag,g6_lpips,pixel_identical
we00072,webcode2m,original,15.0,9.0,24.0,4006.0,ok,True,30.854,16.0,23.0,15.0,8.0,0.0,1172.0,64.0,qwen2.5-vl,True,4006.0,2770.0,True,1053.0,1053.0,0.0,True,0.99741,True,21.0,20.0,1.0,0.0,1.0,True,0.0,0.0,True,1.0,True,True
we00073,webcode2m,level1,5.0,10.0,15.0,4467.0,ok,True,8.955,1.0,15.0,5.0,10.0,0.0,111.0,222.0,qwen2.5-vl,True,4467.0,4067.0,True,1634.0,1634.0,0.0,True,1.0,True,49.0,49.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True
we00074,webcode2m,original,36.0,16.0,52.0,2923.0,ok,True,0.65,40.0,3.0,3.0,0.0,14.0,19.0,0.0,qwen2.5-vl,True,2923.0,2904.0,True,1942.0,1942.0,0.0,True,1.0,True,66.0,66.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True
we00075,webcode2m,level1,0.0,0.0,0.0,980.0,no_candidates,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
we00076,webcode2m,original,8.0,8.0,16.0,3386.0,ok,True,8.151,13.0,15.0,8.0,7.0,0.0,220.0,56.0,qwen2.5-vl,True,3386.0,3110.0,True,1298.0,1298.0,0.0,True,0.99788,True,26.0,25.0,1.0,0.0,1.0,True,0.0,0.0,True,1.0,True,True
we00077,webcode2m,level1,45.0,113.0,158.0,4724.0,all_edits_rejected,False,0.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
we00078,webcode2m,level1,10.0,0.0,10.0,1767.0,all_edits_rejected,False,0.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
we00079,webcode2m,level1,23.0,16.0,39.0,3222.0,ok,True,27.002,40.0,9.0,9.0,0.0,17.0,870.0,0.0,qwen2.5-vl,True,3222.0,2352.0,True,1305.0,1305.0,0.0,True,1.0,True,16.0,16.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True
we00080,webcode2m,level1,25.0,45.0,70.0,2793.0,ok,True,0.394,40.0,2.0,2.0,0.0,17.0,11.0,0.0,qwen2.5-vl,True,2793.0,2782.0,True,1331.0,1331.0,0.0,True,1.0,True,66.0,66.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True
we00081,webcode2m,level1,20.0,1.0,21.0,3001.0,all_edits_rejected,False,0.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
we00082,webcode2m,level1,15.0,20.0,35.0,1816.0,ok,True,5.507,35.0,18.0,0.0,18.0,17.0,0.0,100.0,qwen2.5-vl,True,1816.0,1716.0,True,1344.0,1344.0,0.0,True,1.0,True,32.0,32.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True
we00083,webcode2m,level1,6.0,31.0,37.0,5033.0,all_edits_rejected,False,0.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
we00084,webcode2m,level1,20.0,1.0,21.0,3001.0,all_edits_rejected,False,0.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
we00085,webcode2m,original,7.0,1.0,8.0,1999.0,ok,True,1.501,13.0,2.0,2.0,0.0,6.0,30.0,0.0,qwen2.5-vl,True,1999.0,1969.0,True,838.0,838.0,0.0,True,1.0,True,58.0,58.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True
we00086,webcode2m,level1,4.0,2.0,6.0,1645.0,ok,True,1.824,7.0,3.0,3.0,0.0,3.0,30.0,0.0,qwen2.5-vl,True,1645.0,1615.0,True,970.0,970.0,0.0,True,1.0,True,32.0,32.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True
we00087,webcode2m,level1,12.0,0.0,12.0,2527.0,all_edits_rejected,False,0.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
we00088,webcode2m,original,8.0,6.0,14.0,3645.0,ok,True,9.191,17.0,12.0,8.0,4.0,2.0,298.0,37.0,qwen2.5-vl,True,3645.0,3310.0,True,1347.0,1347.0,0.0,True,1.0,True,75.0,75.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True
we00089,webcode2m,original,19.0,0.0,19.0,1700.0,ok,True,0.118,37.0,1.0,1.0,0.0,18.0,2.0,0.0,qwen2.5-vl,True,1700.0,1698.0,True,1098.0,1098.0,0.0,True,1.0,True,51.0,51.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True
