page_id,base,base_path,tokens_page,chars_page,n_style_blocks,chars_css,tokens_css,chars_selector_trim,tokens_selector_trim,chars_unmatched,tokens_unmatched,status,n_rules,n_style_rules,n_selectors_asked,n_selectors_unmatched,n_selectors_invalid,css_candidate_chars,css_candidate_tokens,css_candidate_pct_of_css_chars,proposed_tokens_saved,proposed_pct_of_page_tokens,chars_dead_props,tokens_dead_props
we00049,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00049.html,2171,8490,1,1185,285,166.0,35.0,331.0,82.0,ok,10.0,10.0,12.0,4.0,0.0,512.0,120.0,43.21,120.0,5.53,15.0,3.0
we00050,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00050.html,3615,10322,1,3300,1072,22.0,10.0,,,ok,53.0,53.0,54.0,2.0,0.0,236.0,67.0,7.15,67.0,1.85,214.0,57.0
we00051,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00051.html,2937,11612,1,1701,546,173.0,46.0,115.0,36.0,ok,13.0,13.0,24.0,11.0,0.0,288.0,82.0,16.93,82.0,2.79,,
we00052,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00052.html,1584,6170,1,619,195,5.0,3.0,,,ok,8.0,8.0,10.0,2.0,0.0,5.0,3.0,0.81,3.0,0.19,,
we00053,original,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\data\raw_webcode2m\we00053.html,3488,12399,1,1393,420,,,,,ok,10.0,10.0,11.0,0.0,0.0,62.0,20.0,4.45,20.0,0.57,62.0,20.0
we00054,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00054.html,3143,10538,1,5169,1630,367.0,135.0,1609.0,497.0,ok,79.0,79.0,138.0,79.0,0.0,2226.0,709.0,43.06,709.0,22.56,250.0,77.0
we00055,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00055.html,2717,8093,1,4206,1501,21.0,6.0,213.0,86.0,ok,50.0,50.0,54.0,5.0,0.0,248.0,95.0,5.9,95.0,3.5,14.0,3.0
we00056,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00056.html,1217,3681,1,2238,773,,,313.0,111.0,ok,32.0,32.0,31.0,3.0,0.0,313.0,111.0,13.99,111.0,9.12,,
we00057,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00057.html,3491,12877,1,5099,1379,471.0,112.0,1613.0,493.0,ok,51.0,51.0,67.0,29.0,0.0,2084.0,605.0,40.87,605.0,17.33,,
we00058,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00058.html,1849,5917,1,665,212,,,,,ok,5.0,5.0,5.0,0.0,0.0,15.0,3.0,2.26,3.0,0.16,15.0,3.0
we00059,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00059.html,2361,8843,1,645,204,70.0,16.0,,,ok,13.0,13.0,16.0,3.0,0.0,70.0,16.0,10.85,16.0,0.68,,
we00060,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00060.html,2640,9283,1,1545,532,,,1096.0,372.0,ok,13.0,13.0,12.0,9.0,0.0,1096.0,372.0,70.94,372.0,14.09,,
we00061,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00061.html,2360,7640,1,1237,507,,,,,ok,27.0,27.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
we00062,final:l1,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00062.html,1618,4945,1,1301,497,63.0,19.0,,,ok,18.0,18.0,27.0,7.0,0.0,63.0,19.0,4.84,19.0,1.17,,
we00063,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00063.html,5410,18192,1,9315,2788,421.0,152.0,2177.0,681.0,ok,103.0,103.0,163.0,76.0,0.0,2683.0,856.0,28.8,856.0,15.82,85.0,23.0
we00064,final:l1,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00064.html,3547,11386,1,1513,570,61.0,18.0,,,ok,21.0,21.0,31.0,6.0,0.0,61.0,18.0,4.03,18.0,0.51,,
