page_id,source,base,stamp_roundtrip_identical,n_invisible,n_wrappers,n_candidate_edits,tokens_base,tokens_original,prescreen_ran,n_prescreen_dropped,status,gate_calls,n_kept,n_kept_invisible,n_kept_wrappers,n_blacklisted,tokens_saved_invisible,tokens_saved_wrappers,tokenizer,g0_parse,tokens_orig,tokens_comp,reduction_pct,g1_tokens,docH_orig,docH_comp,height_delta_px,g2_height,text_ratio,g3_text,n_boxes_orig,n_boxes_comp,iou_mean,center_shift_max,n_unmatched,g4_blocks,deltae_p95,deltae_max,g5_color,ssim_diag,g6_lpips,pixel_identical,accepted
we00038,webcode2m,level1,,1.0,3.0,4.0,2237.0,2528.0,True,0.0,all_edits_rejected,7.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,False
we00039,webcode2m,level1,,1.0,1.0,2.0,2911.0,3022.0,True,0.0,ok,1.0,2.0,1.0,1.0,0.0,8.0,7.0,qwen2.5-vl,True,2911.0,2896.0,0.515,True,2188.0,2188.0,0.0,True,1.0,True,14.0,14.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True
we00040,webcode2m,level1,,14.0,56.0,70.0,2926.0,3075.0,True,2.0,ok,28.0,51.0,12.0,39.0,0.0,101.0,276.0,qwen2.5-vl,True,2926.0,2549.0,12.884,True,2639.0,2639.0,0.0,True,1.0,True,97.0,97.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True
we00041,webcode2m,level1,,8.0,26.0,34.0,2948.0,3819.0,True,5.0,ok,14.0,27.0,8.0,19.0,2.0,81.0,200.0,qwen2.5-vl,True,2948.0,2654.0,9.973,True,1953.0,1953.0,0.0,True,1.0,True,53.0,53.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True
we00042,webcode2m,level1,,9.0,52.0,61.0,3348.0,3565.0,True,5.0,ok,1.0,56.0,8.0,48.0,0.0,109.0,724.0,qwen2.5-vl,True,3348.0,2515.0,24.881,True,1991.0,1991.0,0.0,True,1.0,True,72.0,72.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True
we00043,webcode2m,level1,,11.0,8.0,19.0,1334.0,1527.0,True,1.0,ok,1.0,18.0,10.0,8.0,0.0,178.0,38.0,qwen2.5-vl,True,1334.0,1087.0,18.516,True,1040.0,1040.0,0.0,True,1.0,True,33.0,33.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True
we00044,webcode2m,level1,,10.0,4.0,14.0,4743.0,5874.0,True,4.0,ok,1.0,10.0,7.0,3.0,0.0,1072.0,9.0,qwen2.5-vl,True,4743.0,3653.0,22.981,True,844.0,844.0,0.0,True,1.0,True,23.0,23.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True
we00045,webcode2m,level1,,1.0,0.0,1.0,2050.0,2542.0,True,0.0,ok,1.0,1.0,1.0,0.0,0.0,61.0,0.0,qwen2.5-vl,True,2050.0,1989.0,2.976,True,808.0,808.0,0.0,True,1.0,True,68.0,68.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True
we00046,webcode2m,level1,,4.0,9.0,13.0,4073.0,4561.0,True,0.0,ok,1.0,13.0,4.0,9.0,0.0,-58.0,-24.0,qwen2.5-vl,True,4073.0,4050.0,0.565,True,1084.0,1084.0,0.0,True,1.0,True,128.0,128.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True
we00047,webcode2m,level1,,18.0,17.0,35.0,5586.0,6557.0,True,3.0,ok,20.0,24.0,16.0,8.0,8.0,1072.0,5.0,qwen2.5-vl,True,5586.0,4451.0,20.319,True,1577.0,1577.0,0.0,True,1.0,True,36.0,36.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True
we00048,webcode2m,level1,,6.0,1.0,7.0,2821.0,3090.0,True,0.0,ok,1.0,7.0,6.0,1.0,0.0,947.0,1.0,qwen2.5-vl,True,2821.0,1870.0,33.711,True,1616.0,1616.0,0.0,True,1.0,True,54.0,54.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True
we00049,webcode2m,level1,,7.0,42.0,49.0,2854.0,2989.0,True,3.0,ok,1.0,46.0,7.0,39.0,0.0,37.0,601.0,qwen2.5-vl,True,2854.0,2171.0,23.931,True,1768.0,1768.0,0.0,True,1.0,True,46.0,46.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True
we00050,webcode2m,level1,,39.0,11.0,50.0,3709.0,4327.0,True,39.0,ok,1.0,11.0,3.0,8.0,0.0,28.0,66.0,qwen2.5-vl,True,3709.0,3615.0,2.534,True,2485.0,2485.0,0.0,True,0.99923,True,162.0,161.0,1.0,0.0,1.0,True,0.0,0.0,True,1.0,True,True,True
we00051,webcode2m,level1,,12.0,10.0,22.0,3137.0,3336.0,True,2.0,ok,14.0,15.0,6.0,9.0,5.0,116.0,57.0,qwen2.5-vl,True,3137.0,2937.0,6.376,True,1998.0,1998.0,0.0,True,1.0,True,48.0,48.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True
we00052,webcode2m,level1,,6.0,11.0,17.0,1751.0,1956.0,True,0.0,ok,1.0,17.0,6.0,11.0,0.0,86.0,89.0,qwen2.5-vl,True,1751.0,1584.0,9.537,True,917.0,917.0,0.0,True,1.0,True,42.0,42.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True
we00053,webcode2m,original,,,,,,,,,"page_error: Page.goto: Timeout 30000ms exceeded.
Call log:
  - navigating to ""file:///C:/Users/Mahin/Thesis/render_validated_starter_kit/starter_kit/data/raw_webcode2m/we00053.html"", waiting until ""load""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
we00054,webcode2m,level1,,7.0,36.0,43.0,4646.0,5530.0,True,3.0,ok,1.0,40.0,6.0,34.0,0.0,1394.0,326.0,qwen2.5-vl,True,4646.0,3143.0,32.35,True,1183.0,1183.0,0.0,True,1.0,True,36.0,36.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True
we00055,webcode2m,level1,,21.0,3.0,24.0,3228.0,4375.0,True,3.0,ok,1.0,21.0,20.0,1.0,0.0,507.0,-40.0,qwen2.5-vl,True,3228.0,2717.0,15.83,True,1579.0,1579.0,0.0,True,1.0,True,74.0,74.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True
we00056,webcode2m,level1,,4.0,0.0,4.0,1298.0,1704.0,True,0.0,ok,1.0,4.0,4.0,0.0,0.0,81.0,0.0,qwen2.5-vl,True,1298.0,1217.0,6.24,True,970.0,970.0,0.0,True,1.0,True,32.0,32.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True
we00057,webcode2m,level1,,1.0,8.0,9.0,3751.0,4324.0,True,0.0,ok,1.0,9.0,1.0,8.0,0.0,110.0,92.0,qwen2.5-vl,True,3751.0,3491.0,6.931,True,3202.0,3202.0,0.0,True,0.90688,True,41.0,40.0,1.0,0.0,1.0,True,0.0,0.0,True,1.0,True,True,True
we00058,webcode2m,level1,,4.0,40.0,44.0,2113.0,2298.0,True,2.0,ok,1.0,42.0,3.0,39.0,0.0,30.0,213.0,qwen2.5-vl,True,2113.0,1849.0,12.494,True,1506.0,1506.0,0.0,True,1.0,True,66.0,66.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True
we00059,webcode2m,level1,,9.0,14.0,23.0,2523.0,2612.0,True,3.0,ok,13.0,13.0,5.0,8.0,0.0,94.0,68.0,qwen2.5-vl,True,2523.0,2361.0,6.421,True,1090.0,1090.0,0.0,True,1.0,True,67.0,67.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True
we00060,webcode2m,level1,,10.0,24.0,34.0,3057.0,3353.0,True,1.0,ok,16.0,32.0,10.0,22.0,0.0,169.0,248.0,qwen2.5-vl,True,3057.0,2640.0,13.641,True,1767.0,1767.0,0.0,True,1.0,True,82.0,82.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True
we00061,webcode2m,level1,,12.0,12.0,24.0,2460.0,2695.0,True,9.0,ok,1.0,15.0,7.0,8.0,0.0,65.0,47.0,qwen2.5-vl,True,2460.0,2360.0,4.065,True,1956.0,1956.0,0.0,True,1.0,True,66.0,66.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True
